º	°
’	'
‘	'
“	"
”	"

1 fl. oz.	1 fluid ounce
1 fl oz	1 fluid ounce
 fl. oz.	 fluid ounces
 fl oz	 fluid ounces
-oz.	-ounce
-oz	-ounce
1 oz.	1 ounce
1 oz	1 ounce
oz.	ounces
oz	ounces
-lb.	-pound
-lb	-pound
1 lb.	1 pound
1 lb	1 pound
 lb.	 pounds
 lb	 pounds
1 tsp.	1 teaspoon
1 tsp	1 teaspoon
 tsp.	 teaspoons
 tsp	 teaspoons
1 t.	1 teaspoon
1 t	1 teaspoon
 t.	 teaspoons
 t 	 teaspoons 
1 tbs.	1 tablespoon
1 tbs	1 tablespoon
 tbs.	 tablespoons
 tbs	 tablespoons
1 tbsp.	1 tablespoon
1 tbsp	1 tablespoon
 tbsp.	 tablespoons
 tbsp	 tablespoons
1 T.	1 tablespoon 
1 T 	1 tablespoon 
 T.	 tablespoons 
 T 	 tablespoons 
1 c.	1 cup
1 c 	1 cup 
 c.	 cups
 c 	 cups 
1 pt.	1 pint
1 pt	1 pint
 pt.	 pints
 pt 	 pints 
1 qt.	1 quart
1 qt	1 quart
 qt.	 quarts
 qt	 quarts
1 gal.	1 gallon
1 gal 	1 gallon 
 gal.	 gallons
 gal 	 gallons 
 doz.	 dozen
 doz 	 dozen 
-in.	-inch

TT.	to taste 
TT 	to taste 

a la 	à la 
A la	À la 
aioli	aïoli	
Aioli	Aïoli
Albondigas	Albóndigas
albondigas	albóndigas
all purpose	all-purpose
All purpose	All-purpose
Bechamel	Béchamel
bechamel	béchamel
bernaise	bérnaise
Bernaise	Bérnaise
Bouchees	Bouchées
bouchees	bouchées
brisee	brisée
Brisee	Brisée
Brulee	Brûlée
brulee	brûlée
Brulot	Brûlot
brulot	brûlot
Cafe	Café
cafe	café
Caffe	Caffé
caffe	caffé
Canape	Canapé
canape	canapé
Careme	Carême
careme	carême
Chateaubriand	Châteaubriand
chateaubriand	châteaubriand
chevre	chèvre
Chevre	Chèvre
Concasse	Concassée
concasse	concassée
concassee	Concassée
Concassee	concassée
Consumme	Consummé
consumme	consummé
Cotes	Côtes
cotes	côtes
Creme	Crème
creme	crème
Crepe	Crêpe
crepe	crêpe
Crudite	Crudité
crudite	crudité
Dash of 	1 dash 
deep fat	deep-fat
Deep fat	Deep-fat
Eclair	Éclair
eclair	éclair
Entree	Entrée
entree	entrée
fat free	fat-free
File	Filé
file	filé
Flambe	Flambé
flambe	flambé
fraiche	fraîche
Fraiche	Fraîche
Gateau	Gâteau
gateau	gâteau
Gewurztraminer	Gewürztraminer
Glace	Glacé
glace	glacé
Gratine	Gratiné
gratine	gratiné
Gratinee	Gratinée
gratinee	gratinée
Gruyere	Gruyère
gruyere	gruyère
Habanero	Habañero
habanero	habañero
Highheat	High-heat
highheat	high-heat
Jalapeno	Jalapeño
jalapeno	jalapeño
Jalapefio	Jalapeño
Jalapeflo	Jalapeño
jalape?o	jalapeño
Jicama	Jícama
jicama	jícama
Kahlua	Kahlúa
less sodium	less-sodium
low sodium	low-sodium
lowersalt	lower-salt
Limon	Limón
limon	limón
Lowheat	Low-heat
lowheat	low-heat
mache	mâche
Mache	Mâche
Mariniere	Marinière
